"filename", "language", "Vue", "JavaScript", "Less", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\App.vue", "Vue", 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\css\reset.css", "CSS", 0, 0, 0, 45, 0, 0, 5, 4, 54
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\css\style.css", "CSS", 0, 0, 0, 42, 0, 0, 2, 6, 50
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\iconfont\demo.css", "CSS", 0, 0, 0, 435, 0, 0, 19, 86, 540
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\iconfont\demo_index.html", "HTML", 0, 0, 0, 0, 0, 611, 2, 82, 695
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\iconfont\iconfont.css", "CSS", 0, 0, 0, 79, 0, 0, 0, 25, 104
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\iconfont\iconfont.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\iconfont\iconfont.json", "JSON", 0, 0, 0, 0, 163, 0, 0, 1, 164
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\js\tools.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\assets\less\theme.less", "Less", 0, 0, 6, 0, 0, 0, 2, 4, 12
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\components\Category.vue", "Vue", 62, 0, 0, 0, 0, 0, 1, 3, 66
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\components\Nav.vue", "Vue", 143, 0, 0, 0, 0, 0, 3, 20, 166
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\components\Person.vue", "Vue", 60, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\components\Sidebar.vue", "Vue", 17, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\components\Tag.vue", "Vue", 67, 0, 0, 0, 0, 0, 1, 3, 71
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\main.js", "JavaScript", 0, 29, 0, 0, 0, 0, 6, 7, 42
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\router\index.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\store\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 2, 3, 28
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\views\Home.vue", "Vue", 38, 0, 0, 0, 0, 0, 4, 4, 46
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\views\article\articleById.vue", "Vue", 10, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\views\article\index.vue", "Vue", 166, 0, 0, 0, 0, 0, 2, 16, 184
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\views\category\index.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\views\tag\index.vue", "Vue", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\zheng\Desktop\blog\vue-refactoring\src\views\test.vue", "Vue", 11, 0, 0, 0, 0, 0, 0, 4, 15
"Total", "-", 617, 94, 6, 601, 163, 611, 52, 301, 2445
